id,product_id,variant_type,variant_value,price_modifier,stock,sku,created_at,active
543,95,color,MULTICOLOR,0.00,0,null,2026-03-03 17:12:16.684743+00,true
552,24,color,MULTICOLOR,0.00,0,null,2026-03-03 17:16:21.081976+00,true
553,25,color,BLANCO FRIO,0.00,0,null,2026-03-03 17:16:41.33805+00,true
561,31,color,VERDE,0.00,0,null,2026-03-03 17:20:35.34429+00,true
562,30,color,VIOLETA,0.00,0,null,2026-03-03 17:20:53.781537+00,true
563,29,color,ROSA,0.00,0,null,2026-03-03 17:21:12.482121+00,true
566,26,color,CALIDO,0.00,0,null,2026-03-03 17:22:07.086794+00,true
570,33,color,MULTICOLOR,0.00,0,null,2026-03-03 17:26:41.472277+00,true
571,34,color,BLANCO FRIO,0.00,0,null,2026-03-03 17:27:05.922101+00,true
572,35,color,MULTICOLOR,0.00,0,null,2026-03-03 17:27:30.387535+00,true
573,36,color,BLANCO FRIO,0.00,0,null,2026-03-03 17:28:03.54953+00,true
574,37,color,AZUL,0.00,0,null,2026-03-03 17:28:25.443722+00,true
576,38,color,ROJO,0.00,0,null,2026-03-03 17:29:07.906975+00,true
577,40,color,VIOLETA,0.00,0,null,2026-03-03 17:29:56.573712+00,true
578,41,color,VERDE,0.00,0,null,2026-03-03 17:30:27.134579+00,true
579,42,color,MULTICOLOR,0.00,0,null,2026-03-03 17:30:49.335661+00,true
584,126,color,NEGRO,0.00,0,null,2026-03-03 21:19:27.676462+00,true
585,126,color,ROJO,0.00,0,null,2026-03-03 21:19:27.676462+00,true
586,126,color,BORDO,0.00,0,null,2026-03-03 21:19:27.676462+00,true
587,126,color,AZUL,0.00,0,null,2026-03-03 21:19:27.676462+00,true
588,126,color,BLANCO,0.00,0,null,2026-03-03 21:19:27.676462+00,true
589,27,color,AZUL,0.00,0,null,2026-03-03 21:19:56.22412+00,true
590,28,color,ROJO,0.00,0,null,2026-03-03 21:20:09.057775+00,true
591,138,color,MESSI,0.00,0,null,2026-03-06 18:34:05.156035+00,true
592,140,color,BLANCO,0.00,0,null,2026-03-06 18:57:05.830077+00,true
596,143,color,MULTICOLOR,0.00,0,null,2026-03-09 19:20:03.429965+00,true
597,144,color,ROSA,0.00,0,null,2026-03-09 19:34:01.593139+00,true
612,152,color,MULTICOLOR,0.00,0,null,2026-03-19 17:25:29.977213+00,true
614,149,color,MULTICOLOR,0.00,0,null,2026-03-19 17:26:01.469268+00,true
615,150,color,MULTICOLOR,0.00,0,null,2026-03-19 17:26:38.222201+00,true
621,155,color,COLORES SURTIDOS,0.00,0,null,2026-03-19 17:52:21.080371+00,true
628,158,color,DINOSAURIOS,0.00,0,null,2026-03-19 18:42:26.260756+00,true
629,158,color,BICHITOS,0.00,0,null,2026-03-19 18:42:26.260756+00,true
630,158,color,PATITAS,0.00,0,null,2026-03-19 18:42:26.260756+00,true
631,158,color,OJOTA PLAYERA,0.00,0,null,2026-03-19 18:42:26.260756+00,true
632,158,color,OSO PANDA,0.00,0,null,2026-03-19 18:42:26.260756+00,true
633,139,color,MULTICOLOR,0.00,0,null,2026-03-20 11:44:03.36709+00,true
634,132,color,MULTICOLOR,0.00,0,null,2026-03-20 11:46:11.096445+00,true
635,131,color,MULTICOLOR,0.00,0,null,2026-03-20 11:48:17.166662+00,true
649,21,color,MULTICOLOR,0.00,0,null,2026-03-20 11:58:48.615926+00,true
650,159,color,MULTICOLOR,0.00,0,null,2026-03-20 11:59:15.68466+00,true
651,159,color,ROSA,0.00,0,null,2026-03-20 11:59:15.68466+00,true
652,159,color,BLANCO,0.00,0,null,2026-03-20 11:59:15.68466+00,true
653,15,color,MULTICOLOR,0.00,0,null,2026-03-20 12:01:02.585314+00,true
654,16,color,MULTICOLOR,0.00,0,null,2026-03-20 12:01:23.968856+00,true
655,32,color,BLANCO FRIO,0.00,0,null,2026-03-20 12:02:59.211062+00,true
656,99,color,MULTICOLOR,0.00,0,null,2026-03-20 12:06:25.940714+00,true
662,100,color,VERDE,0.00,0,null,2026-03-20 12:12:11.923889+00,true
663,100,color,AMARILLO,0.00,0,null,2026-03-20 12:12:11.923889+00,true
664,100,color,ROSA,0.00,0,null,2026-03-20 12:12:11.923889+00,true
665,100,color,NARANJA,0.00,0,null,2026-03-20 12:12:11.923889+00,true
666,100,color,COLORES SURTIDOS,0.00,0,null,2026-03-20 12:12:11.923889+00,true
667,101,color,ROSA,0.00,0,null,2026-03-20 12:12:35.676434+00,true
668,101,color,NEGRO,0.00,0,null,2026-03-20 12:12:35.676434+00,true
669,101,color,BLANCO,0.00,0,null,2026-03-20 12:12:35.676434+00,true
670,101,color,COLORES SURTIDOS,0.00,0,null,2026-03-20 12:12:35.676434+00,true
671,22,color,MULTICOLOR,0.00,0,null,2026-03-20 12:13:33.501259+00,true
680,164,color,COMBO COMPLETO,0.00,0,null,2026-03-21 15:43:33.644762+00,true
681,165,color,COMBO COMPLETO,0.00,0,null,2026-03-21 15:44:09.845369+00,true
682,166,color,COMBO COMPLETO,0.00,0,null,2026-03-21 15:53:20.189944+00,true
683,167,color,COMBO COMPLETO,0.00,0,null,2026-03-21 15:56:38.011747+00,true
698,171,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-21 16:25:29.867839+00,true
699,171,color,COMBO CON SOMBRERO AZUL,0.00,0,null,2026-03-21 16:25:29.867839+00,true
700,171,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-21 16:25:29.867839+00,true
701,171,color,COMBO CON SOMBRERO AMARILLO,0.00,0,null,2026-03-21 16:25:29.867839+00,true
702,171,color,COMBO CON SOMBRERO VIOLETA,0.00,0,null,2026-03-21 16:25:29.867839+00,true
703,170,color,COMBO CON SOMBRERO AZUL,0.00,0,null,2026-03-21 16:25:54.237629+00,true
704,170,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-21 16:25:54.237629+00,true
705,170,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-21 16:25:54.237629+00,true
706,170,color,COMBO CON SOMBRERO AMARILLO,0.00,0,null,2026-03-21 16:25:54.237629+00,true
707,170,color,COMBO CON SOMBRERO VIOLETA,0.00,0,null,2026-03-21 16:25:54.237629+00,true
