id,product_id,image_url,is_primary,display_order,created_at
353,150,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_150_353_1775487280497_4d6j40n1a.jpg,true,0,2026-03-19 17:05:11.45599+00
354,150,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_150_354_1775487282332_f0ham4dd2.jpg,false,1,2026-03-19 17:05:11.45599+00
355,150,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_150_355_1775487283916_48jfeldkd.jpg,false,2,2026-03-19 17:05:11.45599+00
356,151,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_151_356_1775487285606_anhm78672.jpg,true,0,2026-03-19 17:16:10.867453+00
357,152,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_152_357_1775487286777_qn0erfyzs.jpg,true,0,2026-03-19 17:25:31.823571+00
358,152,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_152_358_1775487288023_7zzuw2md4.jpg,false,1,2026-03-19 17:25:31.823571+00
359,153,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_153_359_1775487290740_exiyb6amo.jpg,true,0,2026-03-19 17:36:32.812816+00
360,153,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_153_360_1775487292620_rfbcqftkr.jpg,false,1,2026-03-19 17:36:32.812816+00
361,153,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_153_361_1775487293996_zcfacmvei.jpg,false,2,2026-03-19 17:36:32.812816+00
363,155,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_155_363_1775487297487_v0omjrxxv.jpg,true,0,2026-03-19 17:52:22.421908+00
364,155,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_155_364_1775487299128_oxo1rmorm.jpg,false,1,2026-03-19 17:52:22.421908+00
365,156,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_156_365_1775487300424_vmi9g0al4.jpg,true,0,2026-03-19 18:12:23.972055+00
366,156,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_156_366_1775487301811_6l9ulfc0y.jpg,false,1,2026-03-19 18:12:23.972055+00
367,156,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_156_367_1775487303661_8uycbccmu.jpg,false,2,2026-03-19 18:12:23.972055+00
368,156,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_156_368_1775487305337_ih8rvitv2.jpg,false,3,2026-03-19 18:12:23.972055+00
369,156,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_156_369_1775487307793_59lmqp8iz.jpg,false,4,2026-03-19 18:12:23.972055+00
372,158,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_158_372_1775487312552_4i1rwmt4q.jpg,true,0,2026-03-19 18:41:10.275575+00
373,158,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_158_373_1775487314330_lt6ry3cl1.jpg,false,1,2026-03-19 18:41:10.275575+00
374,158,https://jxkj6fescurdg6ul.public.blob.vercel-storage.com/products/product_158_374_1775487315860_5s2wm5n14.jpg,false,2,2026-03-19 18:41:10.275575+00
