id,order_id,product_id,quantity,price,product_name,variant_info,created_at,selected_color,selected_condition,purchase_type
172,77,101,1,8000.00,B103 - SOMBRERO CON LENTEJUELAS LED,null,2026-04-06 12:43:28.626567+00,ROSA,unidad,unidad
173,77,100,3,3600.00,"(B16) - SOMBREROS LED ",null,2026-04-06 12:43:28.626567+00,COLORES SURTIDOS,unidad,unidad
174,77,178,3,2400.00,"(C200) GALERA ARGENTINA (H.14 CM ) ",null,2026-04-06 12:43:28.626567+00,CELESTE Y BLANCO,unidad,unidad
175,77,143,6,800.00,(B60) ANILLO LED- EMOJI,null,2026-04-06 12:43:28.626567+00,MULTICOLOR,unidad,unidad
176,77,182,2,3400.00,"(C201) GORRO ARLEQUIN 3 PUNTAS  ",null,2026-04-06 12:43:28.626567+00,CELESTE Y BLANCO,unidad,unidad
177,77,183,1,5400.00,(C202) GALERON ARGENTINA SUBLIMADO (H. 25 CM,null,2026-04-06 12:43:28.626567+00,CELESTE Y BLANCO,unidad,unidad
178,77,164,1,58300.00,(B106-1) COMBO LED MIXTO DE 50 ARTICULOS,null,2026-04-06 12:43:28.626567+00,COMBO COMPLETO,unidad,unidad
179,78,142,1,67500.00,(B48-2) ALAS LED - BLANCA,null,2026-04-06 16:31:34.322761+00,BLANCO,unidad,unidad
180,78,166,1,177900.00,(B106-3) COMBO LED MIXTO DE 150 ARTICULOS,null,2026-04-06 16:31:34.322761+00,COMBO COMPLETO,unidad,unidad
181,78,185,1,11900.00,(B110) ROMPECOCOS X 10 UNI,null,2026-04-06 16:31:34.322761+00,MULTICOLOR,unidad,unidad
